ENST00000456328	ENSG00000223972
ENST00000438401	ENSG00000228338
ENST00000619922	ENSG00000239810
ENST00000317869	ENSG00000179172
ENST00000240189	ENSG00000120952
ENST00000235349	ENSG00000243073
ENST00000235347	ENSG00000187545
ENST00000436041	ENSG00000274764
ENST00000617807	ENSG00000277058
ENST00000621994	ENSG00000275774
ENST00000434606	ENSG00000229978
ENST00000437631	ENSG00000233336
ENST00000624207	ENSG00000280267
ENST00000323770	ENSG00000179412
ENST00000415919	ENSG00000204505
ENST00000624297	ENSG00000279804
ENST00000622421	ENSG00000270601
ENST00000437300	ENSG00000237700
ENST00000376152	ENSG00000204501
ENST00000432559	ENSG00000228229
ENST00000376101	ENSG00000204480
ENST00000376098	ENSG00000204479
ENST00000376085	ENSG00000162494
ENST00000563570	ENSG00000259961
ENST00000441809	ENSG00000237445
ENST00000449215	ENSG00000231606
ENST00000447908	ENSG00000234593
ENST00000428747	ENSG00000233485
ENST00000439788	ENSG00000236045
ENST00000427824	ENSG00000228140
ENST00000375980	ENSG00000142634
ENST00000606186	ENSG00000272510
ENST00000375826	ENSG00000116771
ENST00000428945	ENSG00000237301
ENST00000345034	ENSG00000215695
ENST00000606262	ENSG00000271742
ENST00000453804	ENSG00000237938
ENST00000418525	ENSG00000224459
ENST00000483273	ENSG00000233954
ENST00000317122	ENSG00000179743
ENST00000329454	ENSG00000183888
ENST00000437156	ENSG00000233078
ENST00000424774	ENSG00000227959
ENST00000426353	ENSG00000224621
ENST00000457809	ENSG00000234166
ENST00000375599	ENSG00000132881
ENST00000457898	ENSG00000226029
ENST00000562878	ENSG00000261135
ENST00000452795	ENSG00000224174
ENST00000415386	ENSG00000233421
ENST00000600179	ENSG00000268991
ENST00000607700	ENSG00000271732
ENST00000633763	ENSG00000282143
ENST00000434336	ENSG00000237847
ENST00000624517	ENSG00000279151
ENST00000624031	ENSG00000279132
ENST00000633433	ENSG00000282740
ENST00000633627	ENSG00000227684
ENST00000606899	ENSG00000272426
ENST00000446261	ENSG00000226526
ENST00000635428	ENSG00000282843
ENST00000375460	ENSG00000142619
ENST00000619609	ENSG00000276747
ENST00000439577	ENSG00000227751
ENST00000430540	ENSG00000236648
ENST00000641892	ENSG00000284653
ENST00000569711	ENSG00000261781
ENST00000419667	ENSG00000230035
ENST00000420211	ENSG00000225387
ENST00000400664	ENSG00000179023
ENST00000375371	ENSG00000179002
ENST00000455833	ENSG00000169991
ENST00000437898	ENSG00000230424
ENST00000361640	ENSG00000162482
ENST00000416470	ENSG00000235185
ENST00000602662	ENSG00000270136
ENST00000289753	ENSG00000158748
ENST00000375121	ENSG00000178828
ENST00000454736	ENSG00000235434
ENST00000375116	ENSG00000188784
ENST00000442226	ENSG00000225986
ENST00000375099	ENSG00000162543
ENST00000435552	ENSG00000228105
ENST00000444923	ENSG00000226664
ENST00000421114	ENSG00000226487
ENST00000641097	ENSG00000284743
ENST00000264198	ENSG00000090432
ENST00000332947	ENSG00000183114
ENST00000451424	ENSG00000117242
ENST00000436642	ENSG00000233069
ENST00000416959	ENSG00000236936
ENST00000449034	ENSG00000231105
ENST00000457706	ENSG00000233431
ENST00000637118	ENSG00000283234
ENST00000431803	ENSG00000230068
ENST00000606754	ENSG00000271840
ENST00000290167	ENSG00000162552
ENST00000438551	ENSG00000237200
ENST00000419644	ENSG00000225952
ENST00000426928	ENSG00000215906
ENST00000566855	ENSG00000227868
ENST00000427154	ENSG00000240553
ENST00000374619	ENSG00000179546
ENST00000641772	ENSG00000284726
ENST00000605350	ENSG00000271420
ENST00000451217	ENSG00000235052
ENST00000374479	ENSG00000179163
ENST00000374472	ENSG00000188822
ENST00000411815	ENSG00000232557
ENST00000439239	ENSG00000225315
ENST00000429191	ENSG00000230703
ENST00000270800	ENSG00000142677
ENST00000439059	ENSG00000230023
ENST00000437965	ENSG00000232298
ENST00000577528	ENSG00000264443
ENST00000641176	ENSG00000284699
ENST00000456316	ENSG00000229162
ENST00000568143	ENSG00000261025
ENST00000455902	ENSG00000231953
ENST00000641729	ENSG00000284602
ENST00000641059	ENSG00000284657
ENST00000607698	ENSG00000272432
ENST00000412797	ENSG00000225643
ENST00000436991	ENSG00000233478
ENST00000559265	ENSG00000255054
ENST00000606617	ENSG00000272478
ENST00000455431	ENSG00000236528
ENST00000374296	ENSG00000182749
ENST00000640097	ENSG00000284309
ENST00000374268	ENSG00000197245
ENST00000456354	ENSG00000188782
ENST00000423060	ENSG00000225891
ENST00000569378	ENSG00000260063
ENST00000339276	ENSG00000175793
ENST00000448791	ENSG00000226698
ENST00000361720	ENSG00000198746
ENST00000254227	ENSG00000131910
ENST00000522111	ENSG00000253368
ENST00000289166	ENSG00000158246
ENST00000425205	ENSG00000224311
ENST00000374024	ENSG00000181773
ENST00000492975	ENSG00000241169
ENST00000443579	ENSG00000237429
ENST00000440492	ENSG00000233975
ENST00000430683	ENSG00000225886
ENST00000602607	ENSG00000269971
ENST00000602843	ENSG00000270031
ENST00000448015	ENSG00000227050
ENST00000604716	ENSG00000270605
ENST00000605846	ENSG00000271398
ENST00000253063	ENSG00000130766
ENST00000602813	ENSG00000270103
ENST00000418471	ENSG00000233427
ENST00000413004	ENSG00000225750
ENST00000427046	ENSG00000237934
ENST00000417651	ENSG00000230523
ENST00000422638	ENSG00000228176
ENST00000641702	ENSG00000284676
ENST00000445180	ENSG00000233399
ENST00000441046	ENSG00000233372
ENST00000427319	ENSG00000236335
ENST00000420354	ENSG00000231949
ENST00000440358	ENSG00000229607
ENST00000431202	ENSG00000235143
ENST00000430143	ENSG00000229044
ENST00000435872	ENSG00000229167
ENST00000581333	ENSG00000264078
ENST00000527035	ENSG00000254545
ENST00000453837	ENSG00000203620
ENST00000602889	ENSG00000269967
ENST00000447478	ENSG00000228634
ENST00000641788	ENSG00000284702
ENST00000366152	ENSG00000203325
ENST00000373625	ENSG00000025800
ENST00000515055	ENSG00000250135
ENST00000373582	ENSG00000183615
ENST00000329421	ENSG00000175130
ENST00000448134	ENSG00000233775
ENST00000609129	ENSG00000273274
ENST00000421619	ENSG00000224409
ENST00000427524	ENSG00000236065
ENST00000602618	ENSG00000270115
ENST00000442999	ENSG00000184389
ENST00000432703	ENSG00000233246
ENST00000338513	ENSG00000189280
ENST00000339480	ENSG00000189433
ENST00000542839	ENSG00000255811
ENST00000342280	ENSG00000187513
ENST00000429293	ENSG00000230163
ENST00000373337	ENSG00000243749
ENST00000641402	ENSG00000284640
ENST00000432683	ENSG00000227409
ENST00000373235	ENSG00000116819
ENST00000373226	ENSG00000232335
ENST00000606838	ENSG00000271914
ENST00000446354	ENSG00000232862
ENST00000207457	ENSG00000092850
ENST00000373178	ENSG00000116863
ENST00000373137	ENSG00000116883
ENST00000641463	ENSG00000284705
ENST00000642109	ENSG00000284720
ENST00000451375	ENSG00000234481
ENST00000642067	ENSG00000284650
ENST00000413901	ENSG00000223944
ENST00000424989	ENSG00000233621
ENST00000641190	ENSG00000284748
ENST00000433474	ENSG00000233728
ENST00000373044	ENSG00000196449
ENST00000419993	ENSG00000230955
ENST00000373012	ENSG00000185668
ENST00000641212	ENSG00000284623
ENST00000431311	ENSG00000237290
ENST00000622355	ENSG00000273637
ENST00000602528	ENSG00000270040
ENST00000289890	ENSG00000226438
ENST00000331593	ENSG00000183682
ENST00000415255	ENSG00000228060
ENST00000372852	ENSG00000163909
ENST00000424418	ENSG00000225903
ENST00000235628	ENSG00000116981
ENST00000372827	ENSG00000116985
ENST00000327582	ENSG00000198754
ENST00000566366	ENSG00000261798
ENST00000641026	ENSG00000284678
ENST00000418255	ENSG00000236546
ENST00000372771	ENSG00000117000
ENST00000567508	ENSG00000259943
ENST00000642138	ENSG00000284677
ENST00000565390	ENSG00000260920
ENST00000450713	ENSG00000238287
ENST00000453437	ENSG00000227278
ENST00000437060	ENSG00000238186
ENST00000440100	ENSG00000237899
ENST00000606277	ENSG00000272145
ENST00000372638	ENSG00000179862
ENST00000414199	ENSG00000229528
ENST00000626479	ENSG00000281207
ENST00000372591	ENSG00000204060
ENST00000429109	ENSG00000229901
ENST00000440249	ENSG00000230881
ENST00000372581	ENSG00000044012
ENST00000357001	ENSG00000197273
ENST00000436207	ENSG00000227527
ENST00000431473	ENSG00000177181
ENST00000414339	ENSG00000234917
ENST00000447572	ENSG00000228452
ENST00000424948	ENSG00000234694
ENST00000436713	ENSG00000229431
ENST00000396885	ENSG00000229372
ENST00000437753	ENSG00000229444
ENST00000372299	ENSG00000171872
ENST00000634670	ENSG00000283039
ENST00000414156	ENSG00000233602
ENST00000372207	ENSG00000142959
ENST00000339355	ENSG00000188396
ENST00000626198	ENSG00000281912
ENST00000334815	ENSG00000186603
ENST00000430643	ENSG00000230896
ENST00000540385	ENSG00000278139
ENST00000450004	ENSG00000226957
ENST00000452785	ENSG00000227857
ENST00000506599	ENSG00000250719
ENST00000371980	ENSG00000171357
ENST00000634804	ENSG00000282881
ENST00000602433	ENSG00000269956
ENST00000505841	ENSG00000154198
ENST00000444042	ENSG00000225506
ENST00000429328	ENSG00000224805
ENST00000422216	ENSG00000226252
ENST00000420876	ENSG00000225762
ENST00000335071	ENSG00000186790
ENST00000445551	ENSG00000237424
ENST00000334793	ENSG00000186564
ENST00000454285	ENSG00000227947
ENST00000438589	ENSG00000223814
ENST00000445070	ENSG00000225028
ENST00000455238	ENSG00000231413
ENST00000431986	ENSG00000223720
ENST00000606809	ENSG00000272491
ENST00000456002	ENSG00000229846
ENST00000420071	ENSG00000230114
ENST00000457061	ENSG00000225623
ENST00000442477	ENSG00000237337
ENST00000440897	ENSG00000233407
ENST00000642132	ENSG00000284645
ENST00000641778	ENSG00000284700
ENST00000424664	ENSG00000225767
ENST00000366181	ENSG00000203356
ENST00000422306	ENSG00000236434
ENST00000424246	ENSG00000238140
ENST00000586761	ENSG00000266993
ENST00000607338	ENSG00000272175
ENST00000371655	ENSG00000169213
ENST00000371614	ENSG00000198841
ENST00000425802	ENSG00000223390
ENST00000428794	ENSG00000228369
ENST00000606527	ENSG00000272100
ENST00000607321	ENSG00000272371
ENST00000446786	ENSG00000242391
ENST00000447867	ENSG00000232993
ENST00000439621	ENSG00000235563
ENST00000452466	ENSG00000236723
ENST00000569869	ENSG00000259818
ENST00000458151	ENSG00000226754
ENST00000432653	ENSG00000234578
ENST00000421637	ENSG00000228838
ENST00000450469	ENSG00000225030
ENST00000446686	ENSG00000232762
ENST00000445039	ENSG00000225675
ENST00000429099	ENSG00000226938
ENST00000449958	ENSG00000230138
ENST00000525949	ENSG00000256407
ENST00000623663	ENSG00000280425
ENST00000361350	ENSG00000198711
ENST00000426901	ENSG00000225632
ENST00000447150	ENSG00000232245
ENST00000433377	ENSG00000235741
ENST00000416119	ENSG00000230728
ENST00000460155	ENSG00000271723
ENST00000371279	ENSG00000162396
ENST00000450503	ENSG00000237453
ENST00000415336	ENSG00000242396
ENST00000371268	ENSG00000143001
ENST00000436960	ENSG00000233271
ENST00000371265	ENSG00000162399
ENST00000451250	ENSG00000231090
ENST00000455010	ENSG00000233079
ENST00000435828	ENSG00000235612
ENST00000425435	ENSG00000229913
ENST00000361249	ENSG00000157131
ENST00000417420	ENSG00000236341
ENST00000422038	ENSG00000227935
ENST00000631770	ENSG00000229887
ENST00000419596	ENSG00000235038
ENST00000371225	ENSG00000184292
ENST00000371222	ENSG00000177606
ENST00000419531	ENSG00000234807
ENST00000607372	ENSG00000272226
ENST00000424592	ENSG00000231740
ENST00000422198	ENSG00000241042
ENST00000451090	ENSG00000235215
ENST00000604999	ENSG00000270457
ENST00000443012	ENSG00000226883
ENST00000456878	ENSG00000238242
ENST00000603233	ENSG00000270742
ENST00000605725	ENSG00000271200
ENST00000498273	ENSG00000240563
ENST00000453229	ENSG00000235545
ENST00000450811	ENSG00000234318
ENST00000418091	ENSG00000227485
ENST00000427547	ENSG00000229225
ENST00000455038	ENSG00000203605
ENST00000449140	ENSG00000228734
ENST00000371116	ENSG00000187140
ENST00000371086	ENSG00000116652
ENST00000607528	ENSG00000272506
ENST00000448344	ENSG00000231485
ENST00000435739	ENSG00000229294
ENST00000429871	ENSG00000237852
ENST00000424138	ENSG00000227466
ENST00000502413	ENSG00000248458
ENST00000304526	ENSG00000172410
ENST00000456389	ENSG00000231080
ENST00000235345	ENSG00000116704
ENST00000621423	ENSG00000275678
ENST00000370981	ENSG00000162595
ENST00000262340	ENSG00000116745
ENST00000425820	ENSG00000233589
ENST00000428732	ENSG00000234264
ENST00000425517	ENSG00000223883
ENST00000439878	ENSG00000235446
ENST00000448001	ENSG00000229639
ENST00000412108	ENSG00000229359
ENST00000370952	ENSG00000066557
ENST00000422107	ENSG00000228988
ENST00000413943	ENSG00000226088
ENST00000607679	ENSG00000271992
ENST00000419450	ENSG00000229051
ENST00000423187	ENSG00000226208
ENST00000426775	ENSG00000235782
ENST00000602605	ENSG00000269933
ENST00000446438	ENSG00000231985
ENST00000453121	ENSG00000228853
ENST00000445976	ENSG00000225087
ENST00000418078	ENSG00000227016
ENST00000415549	ENSG00000237324
ENST00000294635	ENSG00000162621
ENST00000608748	ENSG00000272864
ENST00000438619	ENSG00000229943
ENST00000565735	ENSG00000261213
ENST00000446238	ENSG00000224127
ENST00000427892	ENSG00000224149
ENST00000433521	ENSG00000178193
ENST00000263187	ENSG00000057468
ENST00000284142	ENSG00000154007
ENST00000434540	ENSG00000230027
ENST00000608243	ENSG00000272855
ENST00000427806	ENSG00000237552
ENST00000454305	ENSG00000230498
ENST00000436206	ENSG00000233099
ENST00000421331	ENSG00000235927
ENST00000608684	ENSG00000273338
ENST00000370742	ENSG00000162618
ENST00000415629	ENSG00000235011
ENST00000635706	ENSG00000282898
ENST00000567886	ENSG00000260322
ENST00000458146	ENSG00000225598
ENST00000437080	ENSG00000224326
ENST00000439024	ENSG00000227960
ENST00000443939	ENSG00000234953
ENST00000430748	ENSG00000236676
ENST00000420549	ENSG00000233290
ENST00000446227	ENSG00000231364
ENST00000439186	ENSG00000237076
ENST00000455929	ENSG00000233061
ENST00000605506	ENSG00000271576
ENST00000370624	ENSG00000180869
ENST00000610230	ENSG00000273264
ENST00000609367	ENSG00000272691
ENST00000426794	ENSG00000230285
ENST00000456587	ENSG00000236915
ENST00000565575	ENSG00000261737
ENST00000585888	ENSG00000267734
ENST00000370548	ENSG00000267561
ENST00000452509	ENSG00000227290
ENST00000437598	ENSG00000224235
ENST00000294671	ENSG00000213512
ENST00000641099	ENSG00000284734
ENST00000437128	ENSG00000237568
ENST00000370456	ENSG00000183347
ENST00000513638	ENSG00000225492
ENST00000429074	ENSG00000230735
ENST00000432395	ENSG00000231613
ENST00000609194	ENSG00000272931
ENST00000608671	ENSG00000272672
ENST00000435832	ENSG00000229201
ENST00000370445	ENSG00000143032
ENST00000425185	ENSG00000225446
ENST00000606898	ENSG00000272094
ENST00000636805	ENSG00000189195
ENST00000609675	ENSG00000273487
ENST00000602631	ENSG00000229052
ENST00000433544	ENSG00000230439
ENST00000565336	ENSG00000260464
ENST00000439455	ENSG00000233482
ENST00000414039	ENSG00000236098
ENST00000413541	ENSG00000223675
ENST00000451611	ENSG00000230427
ENST00000604534	ENSG00000271092
ENST00000434207	ENSG00000231992
ENST00000444665	ENSG00000228852
ENST00000423410	ENSG00000228504
ENST00000438093	ENSG00000230434
ENST00000424943	ENSG00000233907
ENST00000603401	ENSG00000271252
ENST00000435311	ENSG00000231987
ENST00000422980	ENSG00000232878
ENST00000424982	ENSG00000232542
ENST00000602672	ENSG00000269998
ENST00000561881	ENSG00000259946
ENST00000418344	ENSG00000226053
ENST00000425113	ENSG00000232825
ENST00000454219	ENSG00000228084
ENST00000432294	ENSG00000241073
ENST00000421185	ENSG00000224616
ENST00000446055	ENSG00000223906
ENST00000432210	ENSG00000228086
ENST00000315033	ENSG00000181656
ENST00000416343	ENSG00000230402
ENST00000609247	ENSG00000273204
ENST00000414686	ENSG00000235795
ENST00000432195	ENSG00000225938
ENST00000561748	ENSG00000260940
ENST00000447916	ENSG00000233359
ENST00000414418	ENSG00000230864
ENST00000414923	ENSG00000230759
ENST00000370079	ENSG00000187733
ENST00000415910	ENSG00000237460
ENST00000370078	ENSG00000198890
ENST00000438318	ENSG00000230489
ENST00000564063	ENSG00000260879
ENST00000438965	ENSG00000238122
ENST00000411846	ENSG00000241361
ENST00000357046	ENSG00000243967
ENST00000419814	ENSG00000224698
ENST00000370017	ENSG00000143107
ENST00000437400	ENSG00000232971
ENST00000338366	ENSG00000197780
ENST00000608574	ENSG00000273382
ENST00000602755	ENSG00000270066
ENST00000526411	ENSG00000254942
ENST00000369851	ENSG00000065135
ENST00000436416	ENSG00000225113
ENST00000351050	ENSG00000134183
ENST00000369843	ENSG00000228703
ENST00000562538	ENSG00000260246
ENST00000431955	ENSG00000241720
ENST00000453347	ENSG00000228420
ENST00000415166	ENSG00000235005
ENST00000565955	ENSG00000261055
ENST00000554749	ENSG00000258634
ENST00000369792	ENSG00000156150
ENST00000554808	ENSG00000258673
ENST00000334179	ENSG00000186150
ENST00000440688	ENSG00000235526
ENST00000455967	ENSG00000224965
ENST00000449169	ENSG00000227963
ENST00000609909	ENSG00000273373
ENST00000271331	ENSG00000143125
ENST00000481350	ENSG00000270380
ENST00000640695	ENSG00000283999
ENST00000457402	ENSG00000235407
ENST00000369771	ENSG00000143105
ENST00000566942	ENSG00000259834
ENST00000369769	ENSG00000177272
ENST00000562952	ENSG00000261654
ENST00000440689	ENSG00000232811
ENST00000609118	ENSG00000273010
ENST00000607951	ENSG00000272982
ENST00000610049	ENSG00000273221
ENST00000426321	ENSG00000229283
ENST00000411951	ENSG00000227179
ENST00000564771	ENSG00000260948
ENST00000439736	ENSG00000232558
ENST00000427290	ENSG00000231246
ENST00000608357	ENSG00000273483
ENST00000421943	ENSG00000225075
ENST00000471038	ENSG00000271810
ENST00000566195	ENSG00000261595
ENST00000421157	ENSG00000238198
ENST00000419536	ENSG00000226167
ENST00000632517	ENSG00000282048
ENST00000420156	ENSG00000232895
ENST00000369535	ENSG00000213281
ENST00000448680	ENSG00000233730
ENST00000425449	ENSG00000228035
ENST00000369512	ENSG00000134259
ENST00000453128	ENSG00000237993
ENST00000426515	ENSG00000235933
ENST00000449303	ENSG00000230381
ENST00000456414	ENSG00000224950
ENST00000624685	ENSG00000203864
ENST00000610171	ENSG00000272715
ENST00000442182	ENSG00000235202
ENST00000604156	ENSG00000271427
ENST00000369448	ENSG00000183508
ENST00000439394	ENSG00000226172
ENST00000449439	ENSG00000239216
ENST00000423984	ENSG00000224238
ENST00000457719	ENSG00000227712
ENST00000419144	ENSG00000230921
ENST00000632456	ENSG00000232780
ENST00000562811	ENSG00000260941
ENST00000421812	ENSG00000143067
ENST00000369400	ENSG00000134249
ENST00000566949	ENSG00000261662
ENST00000608123	ENSG00000273406
ENST00000578049	ENSG00000265808
ENST00000604437	ENSG00000270392
ENST00000637601	ENSG00000275131
ENST00000577856	ENSG00000263353
ENST00000612313	ENSG00000275585
ENST00000426275	ENSG00000234998
ENST00000457996	ENSG00000233029
ENST00000430394	ENSG00000223345
ENST00000427872	ENSG00000227193
ENST00000417218	ENSG00000227082
ENST00000445260	ENSG00000231429
ENST00000437523	ENSG00000228826
ENST00000609485	ENSG00000272583
ENST00000450546	ENSG00000224857
ENST00000456469	ENSG00000235887
ENST00000443018	ENSG00000232721
ENST00000424684	ENSG00000263590
ENST00000609585	ENSG00000240929
ENST00000415338	ENSG00000234571
ENST00000609879	ENSG00000273213
ENST00000444624	ENSG00000230186
ENST00000392948	ENSG00000203818
ENST00000620141	ENSG00000276756
ENST00000581164	ENSG00000271567
ENST00000455105	ENSG00000237343
ENST00000581138	ENSG00000279782
ENST00000441760	ENSG00000224363
ENST00000400889	ENSG00000215784
ENST00000544708	ENSG00000256374
ENST00000618589	ENSG00000276216
ENST00000427732	ENSG00000236140
ENST00000619932	ENSG00000272150
ENST00000415065	ENSG00000244619
ENST00000604000	ENSG00000271601
ENST00000606888	ENSG00000272031
ENST00000616257	ENSG00000278431
ENST00000622359	ENSG00000276509
ENST00000584068	ENSG00000270339
ENST00000621489	ENSG00000277420
ENST00000606856	ENSG00000273071
ENST00000431525	ENSG00000227139
ENST00000426504	ENSG00000234190
ENST00000369235	ENSG00000121634
ENST00000610161	ENSG00000273059
ENST00000428035	ENSG00000234283
ENST00000427169	ENSG00000238107
ENST00000452996	ENSG00000224481
ENST00000609678	ENSG00000272824
ENST00000419275	ENSG00000236334
ENST00000322209	ENSG00000177144
ENST00000531288	ENSG00000254913
ENST00000532137	ENSG00000255148
ENST00000466343	ENSG00000254539
ENST00000610119	ENSG00000272755
ENST00000585245	ENSG00000263464
ENST00000617712	ENSG00000275557
ENST00000428289	ENSG00000233030
ENST00000331491	ENSG00000183598
ENST00000578186	ENSG00000270882
ENST00000369158	ENSG00000203811
ENST00000369159	ENSG00000203812
ENST00000564237	ENSG00000261716
ENST00000608318	ENSG00000272993
ENST00000607355	ENSG00000272196
ENST00000403683	ENSG00000203852
ENST00000579512	ENSG00000270276
ENST00000577853	ENSG00000264207
ENST00000369155	ENSG00000184678
ENST00000331380	ENSG00000184260
ENST00000331128	ENSG00000184270
ENST00000271628	ENSG00000143368
ENST00000611044	ENSG00000276110
ENST00000416894	ENSG00000228126
ENST00000442435	ENSG00000237781
ENST00000636087	ENSG00000283324
ENST00000412838	ENSG00000231073
ENST00000368921	ENSG00000213190
ENST00000563624	ENSG00000261168
ENST00000368910	ENSG00000163154
ENST00000459919	ENSG00000143373
ENST00000609583	ENSG00000273481
ENST00000422153	ENSG00000224645
ENST00000455503	ENSG00000237976
ENST00000434112	ENSG00000232536
ENST00000504583	ENSG00000250734
ENST00000457548	ENSG00000227045
ENST00000601684	ENSG00000269621
ENST00000512280	ENSG00000249602
ENST00000420382	ENSG00000232937
ENST00000596133	ENSG00000268288
ENST00000601909	ENSG00000269489
ENST00000368820	ENSG00000213171
ENST00000454109	ENSG00000225556
ENST00000434182	ENSG00000234614
ENST00000368817	ENSG00000196407
ENST00000432386	ENSG00000229021
ENST00000368806	ENSG00000182898
ENST00000429230	ENSG00000226716
ENST00000628080	ENSG00000233792
ENST00000316073	ENSG00000215853
ENST00000429352	ENSG00000236427
ENST00000368801	ENSG00000197915
ENST00000368799	ENSG00000143631
ENST00000388718	ENSG00000143520
ENST00000271835	ENSG00000143536
ENST00000334269	ENSG00000186207
ENST00000368790	ENSG00000169509
ENST00000368789	ENSG00000185966
ENST00000368787	ENSG00000163202
ENST00000333881	ENSG00000244057
ENST00000335633	ENSG00000187238
ENST00000335674	ENSG00000185962
ENST00000444515	ENSG00000176075
ENST00000368784	ENSG00000187223
ENST00000368783	ENSG00000187180
ENST00000368780	ENSG00000159455
ENST00000368779	ENSG00000187173
ENST00000368775	ENSG00000198854
ENST00000606109	ENSG00000203786
ENST00000334371	ENSG00000240386
ENST00000326233	ENSG00000172155
ENST00000607093	ENSG00000197084
ENST00000360090	ENSG00000196734
ENST00000335123	ENSG00000186844
ENST00000431011	ENSG00000235942
ENST00000368765	ENSG00000163206
ENST00000368764	ENSG00000163207
ENST00000419578	ENSG00000224308
ENST00000636302	ENSG00000283227
ENST00000328051	ENSG00000184148
ENST00000368762	ENSG00000169474
ENST00000307098	ENSG00000169469
ENST00000392653	ENSG00000241794
ENST00000368755	ENSG00000196805
ENST00000468739	ENSG00000244094
ENST00000368748	ENSG00000159516
ENST00000427145	ENSG00000229699
ENST00000368747	ENSG00000203784
ENST00000368744	ENSG00000203783
ENST00000368742	ENSG00000203782
ENST00000290722	ENSG00000159527
ENST00000368738	ENSG00000163220
ENST00000368737	ENSG00000163221
ENST00000368725	ENSG00000197364
ENST00000453778	ENSG00000243613
ENST00000434575	ENSG00000233222
